,Grup,Ürün,Ağırlık,Group_Number,Ana Grup,Üçlü,Dörtlü
224,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",Sabun,0.0004328187944407,135,Çeşitli mal ve hizmetler,Kişisel bakım,"Kişisel bakımda kullanılan diğer aletler, ürünler ve eşyalar"
225,Diğer etler ve yenilebilir sakatatlar,Sakatat,0.000685519680816,10,Gıda ve alkolsüz içecekler,Gıda,Et
226,Çikolata ve şekerlemeler,Sakız,0.0004931643023196,29,Gıda ve alkolsüz içecekler,Gıda,"Şeker, reçel, bal, çikolata ve şekerlemeler"
227,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",Salam,0.0009364771852861,11,Gıda ve alkolsüz içecekler,Gıda,Et
228,Taze sebzeler (patates hariç),Salatalık,0.0041058473182025,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
229,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",Salça,0.0020334354200471,26,Gıda ve alkolsüz içecekler,Gıda,Sebze
230,Taze sebzeler (patates hariç),Sarımsak,0.0007818204933383,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
231,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",Saç Bakım Ürünleri,0.0035982236147225,135,Çeşitli mal ve hizmetler,Kişisel bakım,"Kişisel bakımda kullanılan diğer aletler, ürünler ve eşyalar"
232,"Oyunlar, oyuncaklar ve hobiler",Scooter (Çocuk),0.0011547546700673,112,Eğlence ve kültür,"Diğer eğlence araçları ve malzemeleri, bahçe ve evcil hayvanlara ilişkin ürünler, hizmetler","Oyunlar, oyuncaklar ve hobiler"
233,Yemek odası ve oturma odası mobilyaları,Sehpa,0.0002341549057956,62,Ev eşyası,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",Mobilya ve mefruşat
234,Sigaralar,Sigaralar,0.0369832663638708,41,Alkollü içecekler ve tütün,Tütün,Tütün
235,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",Sirke,0.0003253376600386,31,Gıda ve alkolsüz içecekler,Gıda,Başka yerde sınıflandırılamayan diğer gıda ürünleri
236,Taze sebzeler (patates hariç),Sivri Biber,0.002361929863958,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
237,Klima ve ısıtıcılar,Soba,0.0003346268429236,68,Ev eşyası,Ev aletleri,Elektrikli ve elektriksiz büyük ev aletleri
238,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",Sosis,0.000529939224695,11,Gıda ve alkolsüz içecekler,Gıda,Et
239,"Alkolsüz içecekler (meşrubat, ayran vb.)",Soğuk Çay,0.0002792277489209,36,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Maden suyu, alkolsüz içecekler, meyve ve sebze suları"
240,"Lokanta, pastane, kafe vb. yerlerde içilen içecekler",Soğuk İçecekler (Servis edilen),0.0007915840683913,129,Lokanta ve oteller,Yemek hizmetleri,Yiyecek ve içecek hizmetleri
241,Erkek ayakkabısı,Spor Ayakkabısı (Erkek için),0.003312769464092,49,Giyim ve ayakkabı,Ayakkabı,Ayakkabı ve diğer ayak giyecekleri
242,Kadın ayakkabısı,Spor Ayakkabısı (Kadın için),0.0023658923805136,50,Giyim ve ayakkabı,Ayakkabı,Ayakkabı ve diğer ayak giyecekleri
243,Çocuk ve bebek ayakkabısı,Spor Ayakkabısı (Çocuk için),0.0016863990501952,51,Giyim ve ayakkabı,Ayakkabı,Ayakkabı ve diğer ayak giyecekleri
244,"Spor, kamp ve açık hava eğlence malzemeleri",Sporla İlgili Aletler (Futbol Topu),0.0011447952443995,113,Eğlence ve kültür,"Diğer eğlence araçları ve malzemeleri, bahçe ve evcil hayvanlara ilişkin ürünler, hizmetler","Spor, kamp ve açık hava eğlence malzemeleri"
245,Ev tekstili,Stor Perde,0.0009268423101015,64,Ev eşyası,Ev içi tekstil,Ev içi tekstil
246,Su ve maden suyu,Su,0.0033149263755632,35,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Maden suyu, alkolsüz içecekler, meyve ve sebze suları"
247,Su (şebeke suyu),Su Faturası,0.0224336936868396,55,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Su (Şebeke suyu) ve konutla ilgili çeşitli hizmetler,Su (şebeke suyu)
248,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",Sucuk,0.004845127776369,11,Gıda ve alkolsüz içecekler,Gıda,Et
249,Erkek giyim,Sweatshirt (Erkek için),0.0006553347727931,43,Giyim ve ayakkabı,Giyim,Giysiler
250,Kadın giyim,Sweatshirt (Kadın için),0.0008550304800434,44,Giyim ve ayakkabı,Giyim,Giysiler
251,Çocuk giyim,Sweatshirt (Çocuk için),0.0006484488876361,45,Giyim ve ayakkabı,Giyim,Giysiler
252,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),Sürücü Eğitim Kurs Ücreti,0.0009492414896187,96,Ulaştırma,Kişisel ulaştırma araçlarının işletimi,Kişisel ulaştırma araçları ile ilgili diğer hizmetler
253,Süt,Süt,0.0066571136722747,14,Gıda ve alkolsüz içecekler,Gıda,"Süt, peynir ve yumurta"
254,Elektrikli küçük ev aletleri,Sıcak İçecek Makinaları,0.0010874746382939,70,Ev eşyası,Ev aletleri,Elektrikli küçük ev aletleri
255,"Lokanta, pastane, kafe vb. yerlerde içilen içecekler",Sıcak İçecekler (Servis edilen),0.0123620279952802,129,Lokanta ve oteller,Yemek hizmetleri,Yiyecek ve içecek hizmetleri
256,Bilgisayar ve ekipmanları,Tablet (Bilgisayar),0.0001884755248127,109,Eğlence ve kültür,"Görsel-işitsel sistemle (audıo-vısual), fotoğrafla ve veri işlemle ile ilgili ekipman",Veri işlem ekipmanı
257,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",Tahin,0.0005470156942729,31,Gıda ve alkolsüz içecekler,Gıda,Başka yerde sınıflandırılamayan diğer gıda ürünleri
258,"Reçel, marmelat, bal vb. ürünler",Tahin Helvası,0.000534082608721,28,Gıda ve alkolsüz içecekler,Gıda,"Şeker, reçel, bal, çikolata ve şekerlemeler"
259,Kahvaltılık tahıl ürünleri,Tahıl Gevreği,0.0004991554541202,6,Gıda ve alkolsüz içecekler,Gıda,Ekmek ve tahıllar
260,Erkek giyim,Takım Elbise (Erkek için),0.0016963898367283,43,Giyim ve ayakkabı,Giyim,Giysiler
261,Tavuk eti,Tavuk Eti,0.0148476318608723,9,Gıda ve alkolsüz içecekler,Gıda,Et
262,Çocuk giyim,Tayt (Çocuk için),0.0004472738096396,45,Giyim ve ayakkabı,Giyim,Giysiler
263,Taze sebzeler (patates hariç),Taze Fasulye,0.0015764735680759,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
264,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",Teflon Mutfak Eşyaları,0.0004456592078317,74,Ev eşyası,"Züccaciye, yemek takımı ve hanehalkı aletleri","Züccaciye, yemek takımı ve hanehalkı aletleri"
265,Mutfak mobilyaları,Tek Masa,0.0018573914186498,60,Ev eşyası,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",Mobilya ve mefruşat
266,Mutfak mobilyaları,Tek Sandalye,0.0019556186643626,60,Ev eşyası,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",Mobilya ve mefruşat
267,"Mobil telefon, ekipman ve aksesuarları",Telefon Ekipmanları (Cep Telefonu),0.0113132475894199,106,Haberleşme,Telefon ve telefaks ekipmanı,Telefon ve telefaks ekipmanı
268,"Mobil telefon, ekipman ve aksesuarları",Telefon Onarım Ücreti,0.0007615117822205,106,Haberleşme,Telefon ve telefaks ekipmanı,Telefon ve telefaks ekipmanı
269,Televizyonlar,Televizyon,0.0062058024209437,108,Eğlence ve kültür,"Görsel-işitsel sistemle (audıo-vısual), fotoğrafla ve veri işlemle ile ilgili ekipman","Ses alma, kayıt, ses ve resim kopyalama ile ilgili ekipman"
270,Tereyağı,Tereyağı (Kahvaltılık),0.0036406676407777,18,Gıda ve alkolsüz içecekler,Gıda,Katı ve sıvı yağlar
271,Kadın ayakkabısı,Terlik (Kadın için),0.0009777399007239,50,Giyim ve ayakkabı,Ayakkabı,Ayakkabı ve diğer ayak giyecekleri
272,Kitaplar,Test Kitapları,0.0017642666686134,120,Eğlence ve kültür,"Gazete, kitap ve kırtasiye",Kitaplar
273,Erkek giyim,Tişört (Erkek için),0.0026316452549122,43,Giyim ve ayakkabı,Giyim,Giysiler
274,Kadın giyim,Tişört (Kadın için),0.0032404342589213,44,Giyim ve ayakkabı,Giyim,Giysiler
275,Çocuk giyim,Tişört (Çocuk için),0.0022792202449658,45,Giyim ve ayakkabı,Giyim,Giysiler
276,Şeker,Toz Şeker,0.0033335139207544,27,Gıda ve alkolsüz içecekler,Gıda,"Şeker, reçel, bal, çikolata ve şekerlemeler"
277,Demiryolu ile şehir içi yolcu taşımacılığı,Tramvay Ücreti,2.580953825261547e-05,97,Ulaştırma,Ulaştırma hizmetleri,Demiryolu ile yolcu taşımacılığı
278,Peynir,Tulum Peyniri,0.0015667433809962,16,Gıda ve alkolsüz içecekler,Gıda,"Süt, peynir ve yumurta"
279,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",Turşu,0.0003475719344247,26,Gıda ve alkolsüz içecekler,Gıda,Sebze
280,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",Tuvalet Kağıdı,0.0025959438068625,135,Çeşitli mal ve hizmetler,Kişisel bakım,"Kişisel bakımda kullanılan diğer aletler, ürünler ve eşyalar"
281,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",Tuvalet ve Güzellik Sabunu,0.0013605215309195,135,Çeşitli mal ve hizmetler,Kişisel bakım,"Kişisel bakımda kullanılan diğer aletler, ürünler ve eşyalar"
282,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",Tuz,0.0004238666288051,31,Gıda ve alkolsüz içecekler,Gıda,Başka yerde sınıflandırılamayan diğer gıda ürünleri
283,Ev tekstili,Tül,0.0005533387427622,64,Ev eşyası,Ev içi tekstil,Ev içi tekstil
284,Tüpgaz (ev tüpü),Tüp Gaz Ücreti,0.0052212439656821,58,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar","Elektrik, gaz ve diğer yakıtlar",Gaz
285,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",Tıraş Malzemeleri,0.0005906550037542,135,Çeşitli mal ve hizmetler,Kişisel bakım,"Kişisel bakımda kullanılan diğer aletler, ürünler ve eşyalar"
286,"Ayakta tedavi hizmetleri (muayene ücreti, muayene katkı payı vb.)",Uzman Doktor Muayene Ücreti,0.0074706861500762,85,Sağlık,Ayakta tedavi hizmetleri,Tıbbi hizmetler
287,Havayolu ile yolcu taşımacılığı,Uçak Bileti Ücreti,0.0021472442839231,102,Ulaştırma,Ulaştırma hizmetleri,Havayolu ile yolcu taşımacılığı
288,Deniz ve yurt içi su yolu ile yolcu taşımacılığı,Vapur Bilet Ücreti ,0.0003976588093578,103,Ulaştırma,Ulaştırma hizmetleri,Deniz ve yurtiçi su yolu ile yolcu taşımacılığı
289,Evcil hayvanlarla ilgili veterinerlik ve diğer hizmetler,Veteriner Ücreti,0.0003214613346904,115,Eğlence ve kültür,"Diğer eğlence araçları ve malzemeleri, bahçe ve evcil hayvanlara ilişkin ürünler, hizmetler",Evcil hayvanlarla ilgili veterinerlik ve diğer hizmetler
290,"Alkollü içecekler (rakı, viski, votka vb.)",Viski,0.0003429406059616,38,Alkollü içecekler ve tütün,Alkollü içecekler,İçkiler
291,Ev tekstili,Yastık,0.0002667941445989,64,Ev eşyası,Ev içi tekstil,Ev içi tekstil
292,Yatak odası mobilyaları,Yatak (Tek Kişilik),0.0005646454409376,61,Ev eşyası,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",Mobilya ve mefruşat
293,Yatak odası mobilyaları,Yatak (Çift Kişilik),0.0011124544228496,61,Ev eşyası,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",Mobilya ve mefruşat
294,Yatak odası mobilyaları,Yatak Bazası,0.0010614570421853,61,Ev eşyası,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",Mobilya ve mefruşat
295,Yatak odası mobilyaları,Yatak Odası Takımı,0.003427847122572,61,Ev eşyası,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",Mobilya ve mefruşat
296,Ev tekstili,Yatak Örtüsü,0.0004401107371668,64,Ev eşyası,Ev içi tekstil,Ev içi tekstil
297,Yemek odası ve oturma odası mobilyaları,Yemek Odası Takımı,0.001598032209468,62,Ev eşyası,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",Mobilya ve mefruşat
298,Kuru meyve ve sert kabuklu yemişler,Yer Fıstığı,0.001028794938787,22,Gıda ve alkolsüz içecekler,Gıda,Meyveler
299,Konutun bakım ve onarımı için malzemeler,Yer ve Duvar Döşemesi,0.0024269097422734,54,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Konutun bakım ve onarımı,Konutun bakım ve onarımı için malzemeler
300,Ev tekstili,Yorgan,0.0002858529821734,64,Ev eşyası,Ev içi tekstil,Ev içi tekstil
301,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",Yoğurt,0.005277384189696,15,Gıda ve alkolsüz içecekler,Gıda,"Süt, peynir ve yumurta"
302,Yumurta,Yumurta,0.0076017161172134,17,Gıda ve alkolsüz içecekler,Gıda,"Süt, peynir ve yumurta"
303,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",Zeytin,0.0046502577479239,26,Gıda ve alkolsüz içecekler,Gıda,Sebze
304,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",Zeytinyağı,0.0046085740771758,20,Gıda ve alkolsüz içecekler,Gıda,Katı ve sıvı yağlar
305,Çamaşır ve bulaşık makineleri,Çamaşır Makinesi,0.0056750954991213,66,Ev eşyası,Ev aletleri,Elektrikli ve elektriksiz büyük ev aletleri
306,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",Çamaşır İçin Temizlik ve Bakım Ürünleri,0.0082508286318776,77,Ev eşyası,Ev bakım için mal ve hizmetler,Dayanıksız ev malzemeleri
307,Seyahat malzemeleri ve diğer kişisel aksesuarlar,Çanta (Kadın İçin),0.0011406940061599,137,Çeşitli mal ve hizmetler,Başka yerde sınıflandırılamayan kişisel bakım ürünleri,Diğer kişisel aksesuarlar
308,Taze sebzeler (patates hariç),Çarliston Biber,0.0007053723548966,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
309,Çay ve bitki çayları,Çay,0.0067418982020446,33,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Kahve, çay ve kakao"
310,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",Çelik Mutfak Eşyaları,0.0014036994187319,74,Ev eşyası,"Züccaciye, yemek takımı ve hanehalkı aletleri","Züccaciye, yemek takımı ve hanehalkı aletleri"
311,Çikolata ve şekerlemeler,Çikolata Krem,0.001965353067135,29,Gıda ve alkolsüz içecekler,Gıda,"Şeker, reçel, bal, çikolata ve şekerlemeler"
312,Çikolata ve şekerlemeler,Çikolata Tablet,0.0032647311925823,29,Gıda ve alkolsüz içecekler,Gıda,"Şeker, reçel, bal, çikolata ve şekerlemeler"
313,Taze meyveler,Çilek,0.000979865922874,21,Gıda ve alkolsüz içecekler,Gıda,Meyveler
314,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",Çiğ Köfte,0.0040800807920706,128,Lokanta ve oteller,Yemek hizmetleri,Yiyecek ve içecek hizmetleri
315,Kitaplar,Çocuk Kitapları,0.0003615973175262,120,Eğlence ve kültür,"Gazete, kitap ve kırtasiye",Kitaplar
316,Erkek giyim,Çorap (Erkek için),0.000743251748998,43,Giyim ve ayakkabı,Giyim,Giysiler
317,Kadın giyim,Çorap (Kadın için),0.0009652218677402,44,Giyim ve ayakkabı,Giyim,Giysiler
318,Çocuk giyim,Çorap (Çocuk için),0.0006312963727014,45,Giyim ve ayakkabı,Giyim,Giysiler
319,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",Çorbalar,0.0033812586749157,128,Lokanta ve oteller,Yemek hizmetleri,Yiyecek ve içecek hizmetleri
320,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",Örgü Yünü,0.0007407092696365,47,Giyim ve ayakkabı,Giyim,Diğer giysi çeşitleri ve giysi aksesuarları
321,Orta öğretim,Özel Lise Ücreti,0.0090204500582662,125,Eğitim,Orta öğretim,Orta öğretim
322,Üniversite eğitimi,Özel Üniversite Ücreti,0.0079575514032206,126,Eğitim,Üniversite eğitimi,Üniversite eğitimi
323,Okul öncesi eğitim ve ilköğretim,Özel İlköğretim Ücreti,0.0059092392288093,124,Eğitim,Okul öncesi eğitim ve ilköğretim,Okul öncesi eğitim ve ilköğretim
324,Elektrikli küçük ev aletleri,Ütü,0.0004959666622509,70,Ev eşyası,Ev aletleri,Elektrikli küçük ev aletleri
325,Taze meyveler,Üzüm,0.001840776017287,21,Gıda ve alkolsüz içecekler,Gıda,Meyveler
326,İlaçlar,İlaçlar,0.0080292891150583,81,Sağlık,"Tıbbi ürünler, aletler ve malzemeler",İlaçlar
327,Telefon (mobil ve sabit hat) ve internet ücretleri,İnternet Ücreti,0.0053919637044655,107,Haberleşme,Telefon ve telefaks hizmetleri,Telefon ve telefaks hizmetleri
328,Erkek giyim,İç Çamaşırı (Erkek için),0.0011041688865033,43,Giyim ve ayakkabı,Giyim,Giysiler
329,Kadın giyim,İç Çamaşırı (Kadın için),0.0022345599055185,44,Giyim ve ayakkabı,Giyim,Giysiler
330,Çocuk giyim,İç çamaşırı (Çocuk için),0.0004902533122897,45,Giyim ve ayakkabı,Giyim,Giysiler
331,Şarap,Şarap,0.0002875434678724,39,Alkollü içecekler ve tütün,Alkollü içecekler,Şarap
332,Taze meyveler,Şeftali,0.0009667482244207,21,Gıda ve alkolsüz içecekler,Gıda,Meyveler
333,Karayolu ile şehirler arası yolcu taşımacılığı,Şehirlerarası Otobüs Ücreti ,0.0047091772811597,101,Ulaştırma,Ulaştırma hizmetleri,Karayolu ile yolcu taşımacılığı
334,Makarna çeşitleri,Şehriye,0.0003995391215641,5,Gıda ve alkolsüz içecekler,Gıda,Ekmek ve tahıllar
335,Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar,Şemsiye,0.0002901217092134,138,Çeşitli mal ve hizmetler,Başka yerde sınıflandırılamayan kişisel bakım ürünleri,Diğer kişisel aksesuarlar
