,Ürün,Grup,Ağırlık,Group_Number,Ana Grup
0,Ampul,"Çeşitli küçük aksesuarlar (pil, ampul vb.)",0.0007477046407498,75,Ev eşyası
1,Ankastre Fırın,"Fırın, ocak ve fırınlı ocak",0.0003052057905347,67,Ev eşyası
2,Ankastre Mikrodalga Fırın,"Fırın, ocak ve fırınlı ocak",0.0008191107644598,67,Ev eşyası
3,Ankastre Ocak (Set Üstü) ,"Fırın, ocak ve fırınlı ocak",0.000581573246791,67,Ev eşyası
4,Antep Fıstığı,Kuru meyve ve sert kabuklu yemişler,0.0005233504850667,22,Gıda ve alkolsüz içecekler
5,Araba Kiralama Ücreti,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),0.0007142980542498,96,Ulaştırma
6,Araçların  Tamirine ve Bakımına Ödenen Ücretler (İşçilik),Kişisel ulaştırma araçlarının bakım ve onarımı,0.0015042213846712,95,Ulaştırma
7,Armut,Taze meyveler,0.0007002237110008,21,Gıda ve alkolsüz içecekler
8,Ay Çekirdeği,Kuru meyve ve sert kabuklu yemişler,0.0019222763797607,22,Gıda ve alkolsüz içecekler
9,Ayakkabı (Erkek için),Erkek ayakkabısı,0.0025305770942653,49,Giyim ve ayakkabı
10,Ayakkabı (Kadın için),Kadın ayakkabısı,0.0021877843055517,50,Giyim ve ayakkabı
11,Ayakkabı (Çocuk için),Çocuk ve bebek ayakkabısı,0.0005354169253613,51,Giyim ve ayakkabı
12,Ayakkabı Tamiri (Erkek),Ayakkabı bakım ve tamiri,5.724524181014135e-05,52,Giyim ve ayakkabı
13,Ayran,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0004683373089348,36,Gıda ve alkolsüz içecekler
14,Ayran (Servis edilen),"Lokanta, pastane, kafe vb. yerlerde içilen içecekler",0.0013905551108946,129,Lokanta ve oteller
15,Ayva,Taze meyveler,0.0002597841802179,21,Gıda ve alkolsüz içecekler
16,Ayçiçek Yağı,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",0.0094405288949302,20,Gıda ve alkolsüz içecekler
17,Ağız ve Diş Bakımı Ürünleri,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0014533404979821,135,Çeşitli mal ve hizmetler
18,Badana ve Boya Malzemeleri,Konutun bakım ve onarımı için malzemeler,0.0037641337797525,54,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar"
19,Badem İçi,Kuru meyve ve sert kabuklu yemişler,0.0004697801468129,22,Gıda ve alkolsüz içecekler
20,Baharat,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0015086114052707,31,Gıda ve alkolsüz içecekler
21,Baklava,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0039861435530373,4,Gıda ve alkolsüz içecekler
22,Bal,"Reçel, marmelat, bal vb. ürünler",0.0013809903940461,28,Gıda ve alkolsüz içecekler
23,Balık,Taze balık,0.0038490008222481,12,Gıda ve alkolsüz içecekler
24,Banka ile Para Havale Ücreti,Başka yerde sınıflandırılmayan diğer mali hizmetler (para havale ücreti vb.),5.555511431968727e-05,143,Çeşitli mal ve hizmetler
25,Battaniye,Ev tekstili,0.0001887372455749,64,Ev eşyası
26,Bebek Arabası,Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar,0.0013400159594752,138,Çeşitli mal ve hizmetler
27,Bebek Bezi,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0041993845763909,135,Çeşitli mal ve hizmetler
28,Bebek Pijaması,Bebek giyim,0.0003649765581139,46,Giyim ve ayakkabı
29,Bebek Sütü (Toz Karışım),Un ve diğer tahıllar,0.0010284063909715,2,Gıda ve alkolsüz içecekler
30,Bebek Tulumu,Bebek giyim,0.00037279746708,46,Giyim ve ayakkabı
31,Bebek İç Çamaşırı,Bebek giyim,0.0005405002450792,46,Giyim ve ayakkabı
32,Belediye Otobüs Ücreti,Otobüs ile şehir içi yolcu taşımacılığı,0.0019234290621973,99,Ulaştırma
33,Benzin,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",0.0112465124794488,94,Ulaştırma
34,Beyaz Lahana,Taze sebzeler (patates hariç),0.000541081535974,23,Gıda ve alkolsüz içecekler
35,Beyaz Peynir,Peynir,0.0080201540880118,16,Gıda ve alkolsüz içecekler
36,Bilgisayar,Bilgisayar ve ekipmanları,0.0016221498389379,109,Eğlence ve kültür
37,Bilgisayar Ekipmanları,Bilgisayar ve ekipmanları,0.0008967203610651,109,Eğlence ve kültür
38,Bira,Bira,0.0015063144315655,40,Alkollü içecekler ve tütün
39,Bisiklet,Bisikletler,0.0006351856307632,92,Ulaştırma
40,Bisküvi,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0032079777780461,4,Gıda ve alkolsüz içecekler
41,Bitki ve Meyve Çayı (Poşet),Çay ve bitki çayları,0.0001107295376191,33,Gıda ve alkolsüz içecekler
42,Bot (Erkek için),Erkek ayakkabısı,0.0007123190397473,49,Giyim ve ayakkabı
43,Bot (Kadın için),Kadın ayakkabısı,0.001321302244832,50,Giyim ve ayakkabı
44,Bot (Çocuk için),Çocuk ve bebek ayakkabısı,0.000571849632817,51,Giyim ve ayakkabı
45,Bulaşık Bezleri,"Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",0.0001563814663833,78,Ev eşyası
46,Bulaşık Makinesi,Çamaşır ve bulaşık makineleri,0.0026166067637055,66,Ev eşyası
47,Bulaşık İçin Temizlik ve Bakım Ürünleri,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",0.0037046373157254,77,Ev eşyası
48,Bulgur,Un ve diğer tahıllar,0.0012225936080048,2,Gıda ve alkolsüz içecekler
49,Burgerler,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.0107902744946085,128,Lokanta ve oteller
50,Buğday Unu,Un ve diğer tahıllar,0.004180584929326,2,Gıda ve alkolsüz içecekler
51,Cam Ev Eşyası,"Cam, porselen, seramik vb. mutfak eşyaları",0.0011833994146728,72,Ev eşyası
52,Ceket (Erkek için),Erkek giyim,0.0008924113831301,43,Giyim ve ayakkabı
53,Ceket (Kadın için),Kadın giyim,0.0008471899515728,44,Giyim ve ayakkabı
54,Cep Telefonu Görüşme Ücreti,Telefon (mobil ve sabit hat) ve internet ücretleri,0.0216449549800771,107,Haberleşme
55,Ceviz İçi,Kuru meyve ve sert kabuklu yemişler,0.0021526764687012,22,Gıda ve alkolsüz içecekler
56,Cilt ve Vücut Ürünleri,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0019426466309342,135,Çeşitli mal ve hizmetler
57,Cipsler,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.001605627586243,26,Gıda ve alkolsüz içecekler
58,Dana Eti,Dana eti,0.0237384648415338,7,Gıda ve alkolsüz içecekler
59,Davlumbaz,Klima ve ısıtıcılar,0.0002430593361126,68,Ev eşyası
60,Deodorant,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0005602649543486,135,Çeşitli mal ve hizmetler
61,Dereotu,Taze sebzeler (patates hariç),0.0001746830266189,23,Gıda ve alkolsüz içecekler
62,Derin Dondurucu,"Buzdolabı, derin dondurucu",0.0028223052410648,65,Ev eşyası
63,Diğer Kitaplar,Kitaplar,0.0018058951101923,120,Eğlence ve kültür
64,Dolmalık Biber,Taze sebzeler (patates hariç),0.0006606436691663,23,Gıda ve alkolsüz içecekler
65,Domates,Taze sebzeler (patates hariç),0.0101976971717374,23,Gıda ve alkolsüz içecekler
66,Dondurma,Dondurma,0.0016825027911616,30,Gıda ve alkolsüz içecekler
67,Doğalgaz Ücreti,Doğalgaz ve ilgili abonelik ücretleri,0.0211263785777971,57,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar"
68,Ekmek,Ekmek,0.0247310664611826,3,Gıda ve alkolsüz içecekler
69,Ekmek Hamuru (Yufka),"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0011677205621648,4,Gıda ve alkolsüz içecekler
70,Ekmekarası Yiyecekler (Döner),"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.0116042535699557,128,Lokanta ve oteller
71,Elbise (Kadın için),Kadın giyim,0.0046120358096351,44,Giyim ve ayakkabı
72,Elbise (Çocuk için),Çocuk giyim,0.0007218445845402,45,Giyim ve ayakkabı
73,Elektrik Ücreti,Elektrik,0.0202551070770804,56,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar"
74,Elektrikli Kesici Aletler (Blender),Elektrikli küçük ev aletleri,0.0006810647771702,70,Ev eşyası
75,Elektrikli Küçük Ev Aletleri (Tost Makinası),Elektrikli küçük ev aletleri,0.0004300280124203,70,Ev eşyası
76,Elektrikli Saç Bakım Aletleri,Kişisel bakımda kullanılan elektrikli aletler,0.00052908155956,134,Çeşitli mal ve hizmetler
77,Elektrikli Süpürge,Diğer büyük ev aletleri (elektrikli süpürge vb.),0.0027760750916059,69,Ev eşyası
78,Elma,Taze meyveler,0.0029277201241989,21,Gıda ve alkolsüz içecekler
79,Erkek Berberi,Erkekler için kuaförlük hizmetleri,0.0033656353667469,132,Çeşitli mal ve hizmetler
80,Erkek Mont,Erkek giyim,0.0014966587266679,43,Giyim ve ayakkabı
81,Etek,Kadın giyim,0.001433060062503,44,Giyim ve ayakkabı
82,Evcil Hayvanlar İçin Gıda Harcamaları,Evcil hayvanlar ile ilgili ürünler,0.002235694228353,114,Eğlence ve kültür
83,Eşarp,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.0011440412454677,47,Giyim ve ayakkabı
84,Eşofman (Erkek için),Erkek giyim,0.0009142337798859,43,Giyim ve ayakkabı
85,Eşofman (Kadın için),Kadın giyim,0.0011247746132736,44,Giyim ve ayakkabı
86,Eşofman (Çocuk için),Çocuk giyim,0.0016312960833475,45,Giyim ve ayakkabı
87,Fındık Ezmesi,"Reçel, marmelat, bal vb. ürünler",0.0001359873500877,28,Gıda ve alkolsüz içecekler
88,Fındık İçi,Kuru meyve ve sert kabuklu yemişler,0.0007836258911659,22,Gıda ve alkolsüz içecekler
89,Gazoz Meyveli,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0006019038753192,36,Gıda ve alkolsüz içecekler
90,Genç Odası Takımı,Yatak odası mobilyaları,0.000832662102293,61,Ev eşyası
91,Gofret,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0017139413873977,4,Gıda ve alkolsüz içecekler
92,Gömlek (Erkek için),Erkek giyim,0.0027259766538709,43,Giyim ve ayakkabı
93,Gömlek (Kadın için),Kadın giyim,0.0014132725484522,44,Giyim ve ayakkabı
94,Gömlek (Çocuk için),Çocuk giyim,0.0003649550290291,45,Giyim ve ayakkabı
95,Gündelikçi Ücreti,Ev içi hizmetler (gündelikçi ücreti),0.0046863211612293,79,Ev eşyası
96,Halı,Halı,0.0015539727628595,63,Ev eşyası
97,Halı Temizleme,Ev eşyalarının yıkanması ve temizlenmesi hizmetleri,0.0011539984086511,80,Ev eşyası
98,Havlu,Ev tekstili,0.0005568771026329,64,Ev eşyası
99,Havuç,Taze sebzeler (patates hariç),0.0010063309273877,23,Gıda ve alkolsüz içecekler
100,Hazır Et Yemekleri,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.0011269494155922,11,Gıda ve alkolsüz içecekler
101,Hazır Kahve,Kahve,0.0008102256332958,32,Gıda ve alkolsüz içecekler
102,Hazır Pakette Toz Tatlılar (Puding),"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0002554552037502,31,Gıda ve alkolsüz içecekler
103,Hazır Sütlü Tatlılar,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",0.0002525921551136,15,Gıda ve alkolsüz içecekler
104,"Hazır Yemekler (Pilav, Kuru Fasulye)","Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.0132893609581732,128,Lokanta ve oteller
105,Hazır Çorbalar,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0003982841077785,31,Gıda ve alkolsüz içecekler
106,Hijyenik Kadın Bağı,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0008863495861155,135,Çeşitli mal ve hizmetler
107,Hijyenik Zeminler İçin Temizlik ve Bakım Ürünleri,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",0.0011659397381984,77,Ev eşyası
108,Hırka (Kadın için),Kadın giyim,0.000847954580252,44,Giyim ve ayakkabı
109,Ispanak,Taze sebzeler (patates hariç),0.0009251117132097,23,Gıda ve alkolsüz içecekler
110,Kabak,Taze sebzeler (patates hariç),0.0007698654019716,23,Gıda ve alkolsüz içecekler
111,Kabak Çekirdeği,Kuru meyve ve sert kabuklu yemişler,0.0003636868116853,22,Gıda ve alkolsüz içecekler
112,Kaban (Erkek için),Erkek giyim,0.0003325014500548,43,Giyim ve ayakkabı
113,Kaban (Kadın için),Kadın giyim,0.0012229012999514,44,Giyim ve ayakkabı
114,Kaban Anorak (Çocuk için),Çocuk giyim,0.0001101982641625,45,Giyim ve ayakkabı
115,Kabartma Maddeleri,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0002379099556803,31,Gıda ve alkolsüz içecekler
116,Kadın Berberi,Kadınlar için kuaförlük hizmetleri,0.002924717510971,133,Çeşitli mal ve hizmetler
117,Kahve,Kahve,0.0012019692133368,32,Gıda ve alkolsüz içecekler
118,Kakao,Toz kakao,5.4884506628614696e-05,34,Gıda ve alkolsüz içecekler
119,Kakaolu Toz İçecekler,Toz kakao,1.598812298665692e-05,34,Gıda ve alkolsüz içecekler
120,Kalem,Kırtasiye malzemeleri,0.0003620818841555,122,Eğlence ve kültür
121,"Kapı Aksesuarları (Anahtar, Kilit)",Evle ilgili küçük bakım-tamir mal ve hizmetleri,0.0004209910881893,76,Ev eşyası
122,Kargo Gönderme Ücreti,"Diğer satın alınan ulaştırma hizmetleri (nakliye, kargo vb.)",0.0002262394071569,104,Ulaştırma
123,Karnabahar,Taze sebzeler (patates hariç),0.0006096585655212,23,Gıda ve alkolsüz içecekler
124,Karpuz,Taze meyveler,0.0030080243045435,21,Gıda ve alkolsüz içecekler
125,Kavun,Taze meyveler,0.0013826740015538,21,Gıda ve alkolsüz içecekler
126,Kazak (Erkek için),Erkek giyim,0.0013032147190626,43,Giyim ve ayakkabı
127,Kazak (Kadın için),Kadın giyim,0.0032694394651601,44,Giyim ve ayakkabı
128,Kazak (Çocuk için),Çocuk giyim,0.0007429418738221,45,Giyim ve ayakkabı
129,Kağıtlı Şeker,Çikolata ve şekerlemeler,0.0018769363054352,29,Gıda ve alkolsüz içecekler
130,Kaşar Peyniri,Peynir,0.0037578455222598,16,Gıda ve alkolsüz içecekler
131,"Kaşık, Çatal, Bıçak Takımı (Çelik)",Çatal-bıçak takımı,0.0004395349257506,73,Ev eşyası
132,Kebaplar,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.0100169450874829,128,Lokanta ve oteller
133,Kek,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.000898807474477,4,Gıda ve alkolsüz içecekler
134,Kemer,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.0004215879312561,47,Giyim ve ayakkabı
135,Kesme Şeker,Şeker,0.0005131964687837,27,Gıda ve alkolsüz içecekler
136,Ketçap,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0002859611049587,31,Gıda ve alkolsüz içecekler
137,Kiracı Tarafından Ödenen Gerçek Kira,Gerçek kira,0.0767987540522442,53,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar"
138,Kivi,Taze meyveler,0.000207749453028,21,Gıda ve alkolsüz içecekler
139,Klima,Klima ve ısıtıcılar,0.0014861253849901,68,Ev eşyası
140,Kola,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0021911944517285,36,Gıda ve alkolsüz içecekler
141,Kolonya,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0005417488046073,135,Çeşitli mal ve hizmetler
142,Kombi,Klima ve ısıtıcılar,0.0018460876437194,68,Ev eşyası
143,Konserve Balık,Konserve edilmiş veya işlenmiş balık,0.0002805130269873,13,Gıda ve alkolsüz içecekler
144,Konserveler,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.000293289936046,26,Gıda ve alkolsüz içecekler
145,Kraker,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0006584872241272,4,Gıda ve alkolsüz içecekler
146,Kravat,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.0001208740142557,47,Giyim ve ayakkabı
147,Krem Peynir,Peynir,0.0006044180981568,16,Gıda ve alkolsüz içecekler
148,Kuru Fasulye,Kuru baklagiller,0.0010379850859909,25,Gıda ve alkolsüz içecekler
149,Kuru Kayısı,Kuru meyve ve sert kabuklu yemişler,0.0003758184495326,22,Gıda ve alkolsüz içecekler
150,Kuru Soğan,Taze sebzeler (patates hariç),0.0034215561633808,23,Gıda ve alkolsüz içecekler
151,Kuru Temizleme Ücreti,Giyim eşyalarının temizlenmesi ve tadilatı,0.0004094050261272,48,Giyim ve ayakkabı
152,Kuru Üzüm,Kuru meyve ve sert kabuklu yemişler,0.0003809886291053,22,Gıda ve alkolsüz içecekler
153,Kuzu Eti,Kuzu eti,0.0098153465786229,8,Gıda ve alkolsüz içecekler
154,Kömür Ücreti,"Katı yakıtlar (odun, kömür)",0.0066041063446395,59,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar"
155,Köprü Geçiş Ücreti,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),5.328257314295192e-05,96,Ulaştırma
156,Kırmızı Lahana,Taze sebzeler (patates hariç),0.0002109334698889,23,Gıda ve alkolsüz içecekler
157,Kırmızı Turp,Taze sebzeler (patates hariç),0.0002208773158572,23,Gıda ve alkolsüz içecekler
158,Kıvırcık,Taze sebzeler (patates hariç),0.001004991740279,23,Gıda ve alkolsüz içecekler
159,LPG (Araba Tüpü Dolum)  Ücreti,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",0.0105769213181257,94,Ulaştırma
160,Leblebi,Kuru meyve ve sert kabuklu yemişler,0.000424658484875,22,Gıda ve alkolsüz içecekler
161,Limon,Taze meyveler,0.0014680682048678,21,Gıda ve alkolsüz içecekler
162,Lokum,Çikolata ve şekerlemeler,0.0008164411707694,29,Gıda ve alkolsüz içecekler
163,Maden Suyu ve Sodası,Su ve maden suyu,0.0007860752558715,35,Gıda ve alkolsüz içecekler
164,Makarna,Makarna çeşitleri,0.0028168026162661,5,Gıda ve alkolsüz içecekler
